QdB, laserPowerdBmArray, segmentLength_1, percComp, fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
7.2332,-6,8,100,250,112,0.16,0.158,10
7.6662,-5,8,100,250,112,0.16,0.158,10
7.8803,-4,8,100,250,112,0.16,0.158,10
7.6117,-3,8,100,250,112,0.16,0.158,10
7.1209,-2,8,100,250,112,0.16,0.158,10
5.8903,-1,8,100,250,112,0.16,0.158,10
2.8527,0,8,100,250,112,0.16,0.158,10
3.7733,1,8,100,250,112,0.16,0.158,10
1.0633,2,8,100,250,112,0.16,0.158,10
4.9587,-9,9,100,250,112,0.16,0.158,10
-0.0069518,0,0,100,250,112,0.16,0.158,10
5.7442,-8,9,100,250,112,0.16,0.158,10
6.5754,-7,9,100,250,112,0.16,0.158,10
7.2458,-6,9,100,250,112,0.16,0.158,10
7.8031,-5,9,100,250,112,0.16,0.158,10
7.9911,-4,9,100,250,112,0.16,0.158,10
7.9271,-3,9,100,250,112,0.16,0.158,10
7.4051,-2,9,100,250,112,0.16,0.158,10
6.756,-1,9,100,250,112,0.16,0.158,10
5.2518,0,9,100,250,112,0.16,0.158,10
3.7005,1,9,100,250,112,0.16,0.158,10
-2.9455,1,0,100,250,112,0.16,0.158,10
1.5669,2,9,100,250,112,0.16,0.158,10
4.9526,-9,10,100,250,112,0.16,0.158,10
5.85,-8,10,100,250,112,0.16,0.158,10
6.5973,-7,10,100,250,112,0.16,0.158,10
7.3388,-6,10,100,250,112,0.16,0.158,10
7.9179,-2,10,100,250,112,0.16,0.158,10
7.2238,-1,10,100,250,112,0.16,0.158,10
-6.9251,2,0,100,250,112,0.16,0.158,10
6.1527,0,10,100,250,112,0.16,0.158,10
4.6295,1,10,100,250,112,0.16,0.158,10
2.4862,2,10,100,250,112,0.16,0.158,10
5.7557,-9,0,100,250,112,0.16,0.158,20
7.113,-7,0,100,250,112,0.16,0.158,20
7.4703,-6,0,100,250,112,0.16,0.158,20
6.0748,-3,0,100,250,112,0.16,0.158,20
2.2691,-1,0,100,250,112,0.16,0.158,20
-0.37752,1,0,100,250,112,0.16,0.158,20
-2.8151,2,0,100,250,112,0.16,0.158,20
6.5206,-8,2,100,250,112,0.16,0.158,20
7.204,-7,2,100,250,112,0.16,0.158,20
